date,modal_price,min_price,max_price,year,month,day_of_year,weekday,spread,lag_1,lag_7,lag_14,lag_30,roll_7,roll_30,roll_90
2021-03-12,7285.668292682927,7081.736585365854,7360.126829268293,2021,3,71,4,278.39024390243867,7372.5392156862745,5992.160714285715,7362.8015873015875,6278.109539473684,6888.01110151382,6333.343478250925,5118.804191856352
2021-04-01,5205.954054054054,5030.783783783784,5306.12972972973,2021,4,91,3,275.34594594594546,7285.668292682927,6326.088495575221,7404.08,6181.396907216495,6727.991895582226,6300.8287164788435,5128.613966010671
2021-04-02,5103.154028436019,4857.118483412322,5284.981042654028,2021,4,92,4,427.86255924170564,5205.954054054054,6305.580882352941,7263.316091954023,6440.925925925926,6556.216630736951,6256.2363198958465,5134.692391385728
2021-04-03,4860.732394366197,4627.757042253521,5011.81338028169,2021,4,93,5,384.0563380281692,5103.154028436019,6560.539603960396,5139.722222222223,6884.248387096774,6313.38702936635,6188.785786804828,5136.946029352292
2021-04-04,5074.090909090909,4945.428571428572,5173.285714285715,2021,4,94,6,227.85714285714312,4860.732394366197,7084.068,5170.6796875,7305.689873417721,6026.247444950765,6114.399154660599,5140.38106291776
2021-04-05,5845.0,5694.95744680851,5909.223404255319,2021,4,95,0,214.2659574468089,5074.090909090909,7281.593220338983,4904.698464163822,7344.56,5821.019842045197,6064.413821327266,5149.594766621463
2021-04-06,6278.985829959514,6099.773279352226,6416.566801619433,2021,4,96,1,316.79352226720675,5845.0,7372.5392156862745,5072.794007490636,7295.792307692308,5664.797929798517,6030.520272069507,5163.340793915525
2021-04-07,6265.04255319149,6130.95744680851,6373.574468085107,2021,4,97,2,242.61702127659646,6278.985829959514,7285.668292682927,5992.160714285715,5204.952662721894,5518.994252728312,6065.856601751827,5187.570801391632
2021-04-08,6638.28813559322,6439.427966101695,6742.733050847458,2021,4,98,3,303.30508474576254,6265.04255319149,5205.954054054054,6326.088495575221,5188.342541436464,5723.613407233906,6114.188121557052,5217.230702244628
2021-04-09,7073.057522123894,6885.0353982300885,7171.079646017699,2021,4,99,4,286.0442477876104,6638.28813559322,5103.154028436019,6305.580882352941,4963.666666666667,6005.028192046461,6184.501150072293,5254.333765621763
2021-04-10,7254.977477477478,7058.0675675675675,7359.689189189189,2021,4,100,5,301.62162162162167,7073.057522123894,4860.732394366197,6560.539603960396,5044.109137055838,6347.063203919502,6258.196761419681,5289.321646684643
2021-04-11,7478.0,7350.8,7604.875,2021,4,101,6,254.07499999999982,7254.977477477478,5074.090909090909,7084.068,5576.375,6690.4787883350855,6321.584261419682,5327.016528839526
2021-04-12,7370.077720207254,7194.715025906736,7466.632124352332,2021,4,102,0,271.9170984455959,7478.0,5845.0,7281.593220338983,6244.5610328638495,6908.347034078979,6359.101484331128,5362.362296855983
2021-05-01,5251.445652173913,5081.326086956522,5344.722826086957,2021,5,121,5,263.396739130435,7370.077720207254,6278.985829959514,7372.5392156862745,6243.145418326693,6761.555580109607,6326.044825459368,5372.9672235217795
2021-05-02,5188.1222707423585,4949.292576419214,5376.139737991266,2021,5,122,6,426.84716157205185,5251.445652173913,6265.04255319149,7285.668292682927,6578.426751592357,6607.709825474018,6279.701342764368,5380.0352487522505
2021-05-03,4828.196864686468,4589.535478547855,4985.40594059406,2021,5,123,0,395.8704620462049,5188.1222707423585,6638.28813559322,5205.954054054054,6977.78125,6349.125358201623,6208.048529920584,5381.923444368107
