date,modal_price,min_price,max_price,year,month,day_of_year,weekday,spread,lag_1,lag_7,lag_14,lag_30,roll_7,roll_30,roll_90
2022-10-03,7105.406639004149,6303.211618257262,7435.410788381742,2022,10,276,0,1132.1991701244806,6190.89406779661,5886.163636363636,5663.715789473685,4969.270718232045,5636.510709127082,5875.871288875506,5869.6805819623705
2022-10-04,6879.875,6286.416666666667,7159.875,2022,10,277,1,873.458333333333,7105.406639004149,4997.231481481482,6131.043307086614,4600.9156118143455,5905.459783201156,5951.836601815027,5896.9650905093795
2022-10-05,6607.324840764331,5789.6815286624205,6859.477707006369,2022,10,278,2,1069.7961783439487,6879.875,4471.026315789473,7042.319327731092,5390.552380952381,6210.645286768993,5992.39568380876,5915.308240317598
2022-10-06,6365.762376237623,5590.618811881188,6700.990099009901,2022,10,279,3,1110.3712871287134,6607.324840764331,5327.933544303797,7055.330578512397,5227.658695652174,6358.906548473825,6030.332473161607,5928.442392890363
2022-10-07,5955.28,5259.32,6189.68,2022,10,280,4,930.3600000000006,6365.762376237623,5268.149305555556,6663.581005586592,5978.294117647059,6457.068076251603,6029.5653359067055,5927.664483681544
2022-10-08,5908.557471264367,5368.287356321839,6085.103448275862,2022,10,281,5,716.8160919540232,5955.28,6094.933609958506,6419.939759036145,6135.21875,6430.442913581011,6022.009959948851,5926.5657798475195
2022-10-09,4907.285714285715,4585.584415584415,5104.701298701299,2022,10,282,6,519.1168831168834,5908.557471264367,6190.89406779661,5874.0,7006.362549800797,6247.0702916508835,5952.040732098349,5902.531720890604
2022-10-10,4535.5,3868.767716535433,4893.03937007874,2022,10,283,0,1024.271653543307,4907.285714285715,7105.406639004149,5886.163636363636,7149.846511627907,5879.940771793148,5864.895848377419,5878.397461631345
2022-10-11,5300.934210526316,4551.6151315789475,5639.776315789473,2022,10,284,1,1088.1611842105258,4535.5,6879.875,4997.231481481482,6381.766666666666,5654.377801868336,5828.8680998394075,5864.3595778594145
2022-10-12,5235.238095238095,4763.687830687831,5447.148148148148,2022,10,285,2,683.4603174603171,5300.934210526316,6607.324840764331,4471.026315789473,6391.447916666667,5458.365409650302,5790.327772458453,5853.174407270106
2022-11-01,6107.2091666666665,5247.9504166666675,6450.885833333334,2022,11,305,1,1202.9354166666662,5235.238095238095,6365.762376237623,5327.933544303797,5844.204301075269,5421.429236854451,5799.094601311501,5855.352286899737
2022-11-02,6219.921568627451,5467.5137254901965,6567.149019607843,2022,11,306,2,1099.6352941176465,6107.2091666666665,5955.28,5268.149305555556,5844.539772727273,5459.235175229803,5811.607327841507,5858.98490600608
