date,modal_price,min_price,max_price,year,month,day_of_year,weekday,lag_1,lag_7,lag_14,lag_30,roll_7,roll_30,roll_90,arrivals_lag_1,arrivals_roll_7,spread
2023-08-06,8795.0,8078.333333333333,9230.222222222223,2023,8,218,6,7779.166666666667,9187.5,7834.285714285715,9028.555555555555,8494.75142857143,8438.628026196026,8171.175385114886,0.0,0.0,1151.8888888888896
2023-08-07,8933.5,7925.909090909091,9703.863636363636,2023,8,219,0,8795.0,7434.75,9118.75,10650.0,8438.68,8430.84284101084,8188.342051781552,0.0,0.0,1777.954545454545
2023-08-08,9293.009090909092,7490.909090909091,10190.272727272728,2023,8,220,1,8933.5,8637.7,7267.0,8225.625,8652.787142857143,8373.626174344176,8212.911496225997,0.0,0.0,2699.363636363637
2023-08-09,10883.333333333334,9286.666666666666,11873.333333333334,2023,8,221,2,9293.009090909092,8528.810000000001,8514.318181818182,8388.125,8746.402727272729,8409.205644041143,8240.650486124987,0.0,0.0,2586.666666666668
2023-08-11,8332.625,7443.125,9197.4375,2023,8,223,4,10883.333333333334,10656.333333333334,9048.846153846154,6607.625,9082.763203463202,8492.379255152255,8291.448016989185,0.0,0.0,1754.3125
2023-08-12,8041.5,7331.4,8780.75,2023,8,224,5,8332.625,7239.0,9147.954545454546,8381.0,8750.80487012987,8549.879255152255,8314.221628100295,0.0,0.0,1449.3500000000004
2023-09-01,7739.285714285715,7035.0,8268.285714285714,2023,9,244,4,8041.5,7779.166666666667,6680.0,8819.142857142857,8865.447727272727,8538.562588485589,8331.119247147913,0.0,0.0,1233.2857142857138
2023-09-02,8516.875,7779.375,9003.75,2023,9,245,5,7739.285714285715,8795.0,9187.5,9736.0,8859.750448361163,8502.56735039035,8328.7085328622,0.0,0.0,1224.375
2023-09-03,10091.5,8953.666666666666,10841.833333333334,2023,9,246,6,8516.875,8933.5,7434.75,8305.0,8820.01830550402,8461.92985039035,8342.848413814581,0.0,0.0,1888.1666666666679
2023-09-05,8379.166666666666,7871.666666666667,8714.166666666666,2023,9,248,1,10091.5,9293.009090909092,8637.7,8294.375,8985.446876932592,8521.479850390351,8369.242858259026,0.0,0.0,842.4999999999991
2023-09-06,8610.25,7458.0,9503.710000000001,2023,9,249,2,8379.166666666666,10883.333333333334,8528.810000000001,8989.866666666667,8854.897959183672,8524.30623927924,8370.369710110877,0.0,0.0,2045.710000000001
2023-09-07,10000.0,9000.0,11000.0,2023,9,250,3,8610.25,8332.625,10656.333333333334,10783.333333333334,8530.171768707483,8511.652350390352,8379.538228629395,0.0,0.0,2000.0
2023-09-08,9302.083333333334,7963.75,10079.208333333334,2023,9,251,4,10000.0,8041.5,7239.0,8025.0,8768.36819727891,8485.54123927924,8406.276006407174,0.0,0.0,2115.458333333334
2023-09-09,8487.75,7387.75,9212.75,2023,9,252,5,9302.083333333334,7739.285714285715,7779.166666666667,7801.777777777777,8948.451530612245,8528.110683723684,8440.283281539449,0.0,0.0,1825.0
2023-09-10,8255.363636363636,7438.090909090909,9103.681818181818,2023,9,253,6,8487.75,8516.875,8795.0,7168.285714285715,9055.375,8550.976424464425,8454.452725983892,0.0,0.0,1665.590909090909
2023-09-11,9228.285714285714,8405.42857142857,10105.142857142857,2023,9,254,0,8255.363636363636,10091.5,8933.5,6880.714285714285,9018.016233766233,8587.212355200356,8457.945655276822,0.0,0.0,1699.7142857142862
2023-09-12,6857.0,6349.0,7305.6,2023,9,255,1,9228.285714285714,8379.166666666666,9293.009090909092,7834.285714285715,8894.699907235621,8665.464736152737,8473.351299015798,0.0,0.0,956.6000000000004
2023-10-01,7125.833333333333,6710.0,7668.083333333333,2023,10,274,6,6857.0,8610.25,10883.333333333334,9118.75,8677.247526283241,8632.888545676546,8418.984632349133,0.0,0.0,958.083333333333
2023-10-02,8176.875,7516.25,8605.6375,2023,10,275,0,7125.833333333333,10000.0,8332.625,7267.0,8465.188002473717,8566.45799012099,8438.605002719503,0.0,0.0,1089.3875000000007
2023-10-03,8248.0,7324.0,8968.0,2023,10,276,1,8176.875,9302.083333333334,8041.5,8514.318181818182,8204.741573902289,8596.787156787657,8440.529058275059,0.0,0.0,1644.0
2023-10-04,8239.285714285714,7709.142857142857,8610.871428571429,2023,10,277,2,8248.0,8487.75,7739.285714285715,9048.846153846154,8054.158240568955,8587.909884060386,8438.822997668998,0.0,0.0,901.7285714285717
2023-10-05,7160.0,6506.25,7590.0,2023,10,278,3,8239.285714285714,8255.363636363636,8516.875,9147.954545454546,8018.663342609771,8560.924536075037,8428.340313686314,0.0,0.0,1083.75
2023-10-06,7927.625,7097.5,8701.875,2023,10,279,4,7160.0,9228.285714285714,10091.5,6680.0,7862.182823129252,8494.659384559885,8401.459202575203,0.0,0.0,1604.375
2023-10-07,9038.076923076924,8026.923076923077,9867.884615384615,2023,10,280,5,7927.625,6857.0,8379.166666666666,9187.5,7676.374149659864,8536.246884559885,8409.769321622822,0.0,0.0,1840.961538461538
2023-10-08,9056.0,8155.363636363636,9794.0,2023,10,281,6,9038.076923076924,7125.833333333333,8610.25,7434.75,7987.956567242281,8531.266115329116,8424.635608422443,0.0,0.0,1638.636363636364
2023-10-10,7226.428571428572,6233.585714285714,7774.285714285715,2023,10,283,1,9056.0,8176.875,10000.0,8637.7,8263.694662480377,8585.307781995782,8440.881287434788,0.0,0.0,1540.7000000000007
2023-10-11,9043.0,7787.166666666667,9838.333333333334,2023,10,284,2,7226.428571428572,8248.0,9302.083333333334,8528.810000000001,8127.916601255886,8538.265401043402,8429.954104895105,0.0,0.0,2051.166666666667
2023-11-01,8312.777777777777,7443.888888888889,8787.122222222222,2023,11,305,2,9043.0,8239.285714285714,8487.75,10656.333333333334,8241.488029827316,8555.405067710068,8439.693787434788,0.0,0.0,1343.2333333333336
2023-11-02,7369.285714285715,6772.142857142857,7778.571428571428,2023,11,306,3,8312.777777777777,7160.0,8255.363636363636,7239.0,8251.986896040467,8477.286549191549,8437.400577558243,0.0,0.0,1006.4285714285716
2023-11-03,7569.0,6996.0,7943.0,2023,11,307,4,7369.285714285715,7927.625,9228.285714285714,7779.166666666667,8281.884855224142,8481.629406334407,8430.40779256546,0.0,0.0,947.0
